Aop:1	Event:1	MolecularInitiatingEvent	N/A, Unknown
Aop:1	Event:2	KeyEvent	Hyperplasia, Hyperplasia
Aop:1	Event:3	KeyEvent	Proliferation, Cell proliferation in the absence of cytotoxicity
Aop:1	Event:4	AdverseOutcome	Promotion, Hepatocelluar carcinoma
Aop:2	Event:5	MolecularInitiatingEvent	Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)
Aop:2	Event:6	KeyEvent	Inhibition, NADH-ubiquinone oxidoreductase (complex I)
Aop:2	Event:7	KeyEvent	Mitochondrial dysfunction
Aop:2	Event:8	KeyEvent	Impaired, Proteostasis
Aop:2	Event:9	KeyEvent	Neuroinflammation
Aop:2	Event:10	KeyEvent	Degeneration of dopaminergic neurons of the nigrostriatal pathway
Aop:2	Event:11	AdverseOutcome	Parkinsonian motor deficits
Aop:3	Event:12	MolecularInitiatingEvent	Increase, Ecdysone receptor agonism
Aop:3	Event:13	KeyEvent	Increase, Nuclear receptor E75b gene expression
Aop:3	Event:14	KeyEvent	Increase, Fushi tarazu factor-1 gene expression
Aop:3	Event:15	KeyEvent	Decrease, Circulating ecdysis triggering hormone
Aop:3	Event:16	KeyEvent	Decrease, Circulating crustacean cardioactive peptide
Aop:3	Event:17	KeyEvent	Decrease, Ecdysis motoneuron bursts
Aop:3	Event:18	KeyEvent	Decrease, Excitatory postsynaptic potential
Aop:3	Event:19	KeyEvent	Decrease, Abdominal muscle contraction
Aop:3	Event:20	KeyEvent	Increase, Incomplete ecdysis
Aop:3	Event:21	AdverseOutcome	Increase, Mortality
Aop:4	Event:103	MolecularInitiatingEvent	Increase, Ecdysone receptor agonism
Aop:4	Event:988	KeyEvent	Decrease, Circulating ecdysis triggering hormone
Aop:4	Event:990	KeyEvent	Increase, Incomplete ecdysis
Aop:4	Event:993	KeyEvent	Decrease, Abdominal muscle contraction
Aop:4	Event:1264	KeyEvent	Increase, Nuclear receptor E75b gene expression
Aop:4	Event:1265	KeyEvent	Increase, Fushi tarazu factor-1 gene expression
Aop:4	Event:1266	KeyEvent	Decrease, Circulating crustacean cardioactive peptide
Aop:4	Event:1267	KeyEvent	Decrease, Ecdysis motoneuron bursts
Aop:4	Event:1268	KeyEvent	Decrease, Excitatory postsynaptic potential
Aop:4	Event:350	AdverseOutcome	Increase, Mortality
Aop:5	Event:22	MolecularInitiatingEvent	Binding of antagonist, PPAR alpha
Aop:5	Event:23	KeyEvent	stabilization, PPAR alpha co-repressor
Aop:5	Event:24	KeyEvent	Decreased, PPARalpha transactivation of gene expression
Aop:5	Event:25	KeyEvent	Fatty Acid Beta Oxidation, Decreased
Aop:5	Event:26	KeyEvent	Decreased, Ketogenesis (production of ketone bodies)
Aop:5	Event:27	KeyEvent	Not Increased, Circulating Ketone Bodies
Aop:5	Event:28	KeyEvent	Increased, Catabolism of Muscle Protein
Aop:5	Event:29	AdverseOutcome	Decreased, Body Weight
Aop:6	Event:30	MolecularInitiatingEvent	reduction in ovarian granulosa cells, Aromatase (Cyp19a1)
Aop:6	Event:31	KeyEvent	Reduction, Plasma 17beta-estradiol concentrations
Aop:6	Event:32	KeyEvent	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells
Aop:6	Event:33	AdverseOutcome	decreased, Fertility
Aop:6	Event:34	AdverseOutcome	disrupted, ovarian cycle
Aop:7	Event:35	MolecularInitiatingEvent	Activation, Pregnane-X receptor, NR1l2
Aop:7	Event:36	KeyEvent	Induction, Upregulation of glucuronyltransferase activity
Aop:7	Event:37	KeyEvent	Increased, Clearance of thyroxine from serum
Aop:7	Event:38	KeyEvent	Thyroxine (T4) in serum, Decreased
Aop:7	Event:39	KeyEvent	Thyroxine (T4) in neuronal tissue, Decreased
Aop:7	Event:40	KeyEvent	Hippocampal gene expression, Altered
Aop:7	Event:41	KeyEvent	Hippocampal anatomy, Altered
Aop:7	Event:42	KeyEvent	Hippocampal Physiology, Altered
Aop:7	Event:43	AdverseOutcome	Loss, Cochlear function
Aop:8	Event:44	MolecularInitiatingEvent	Binding at picrotoxin site, iGABAR chloride channel
Aop:8	Event:45	KeyEvent	Reduction, Ionotropic GABA receptor chloride channel conductance
Aop:8	Event:46	KeyEvent	Reduction, Neuronal synaptic inhibition
Aop:8	Event:47	KeyEvent	Generation, Amplified excitatory postsynaptic potential (EPSP)
Aop:8	Event:48	KeyEvent	Occurrence, A paroxysmal depolarizing shift
Aop:8	Event:49	AdverseOutcome	Occurrence, Epileptic seizure
